X,Y,OBJECTID,Comunidad_,Provincia,Isla,Código_IN,Término_M,Web_munici,Identifica,Nombre,Nombre_alt,Nombre_a_1,Descripci,Longitud,Anchura,Variación,Grado_ocup,Grado_urba,Paseo_mar,Tipo_paseo,Tipo_de_ar,Condicione,Zona_fonde,Nudismo,Vegetació,Vegetaci_1,Actuacione,Actuacio_1,Bandera_az,Auxilio_y_,Auxilio_y1,Señalizac,Señaliza_,Forma_de_a,Señaliza1,Acceso_dis,Carretera_,Autobús,Autobús_t,Aparcamien,Aparcami_1,Aparcami_2,Aseos,Lavapies,Duchas,Teléfonos,Papelera,Servicio_l,Alquiler_s,Alquiler_h,Alquiler_n,Oficina_tu,Establecim,Establec_1,Zona_infan,Zona_depor,Club_naút,Submarinis,Zona_Surf,Observacio,Coordenada,Coordena_1,Huso,Coordena_2,Coordena_3,Puerto_dep,Web_puerto,Distancia_,Hospital,Dirección,Teléfono_,Distancia1,Composici,Fachada_Li,Espacio_pr,Espacio__1,Coordena_4,Coordena_5,URL_MAGRAM
-1823034.7729,3285876.3653,26,Canarias,Santa Cruz de Tenerife,Tenerife,38020,Güímar,http://www.guimar.es,692,El Puertito,Playa de Güímar, ,"Playa pequeña situada en el puerto de Guímar, que dispone de paseo marítimo y ofrece aguas tranquilas al numeroso público que la visita.",100 metros,45 metros, ,Alto,Urbana,Sí, ,Oscura,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,Sí, ,A pie fácil,Sí,Sí, ,Sí,Interurbano,No, , ,Sí, ,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,Emergencias (112).,365009,3130351,28,16° 22' 35.93'' W,28° 17' 32.40'' N,Puerto Deportivo Radazul,http://www.puertodeportivoradazul.com, ,Hospital Universitario Nuestra Señora de Candelaria,"Ctra. del Rosario, 145 (Santa Cruz de Tenerife)",922602000, ,Arena / Grava,Urbana,No, ,-16.3766,28.2923,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=692
-2001513.3125,3203761.9046,489,Canarias,Santa Cruz de Tenerife,El Hierro,38901,El Pinar de El Hierro,http://www.elpinardeelhierro.com,597,La Restinga, , ,"Playa situada en el pueblecito de pescadores de La Restinga, en el extremo sur de la isla, siendo la base de la flota pesquera de la isla. Sus centros de buceo deportivo permanecen abiertos todo el año.",50 metros,10 metros, ,Medio,Semiurbana,Sí, ,Oscura,Aguas tranquilas,Sí,No,No, , , ,Sí,Sí,Medios materiales,No, ,A pie fácil,Sí,Sí,Carretera a la Restinga,Sí,Interurbano,Sí,No vigilado,Más de 100 plazas,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Hay varios restaurantes en los que puede degustarse pescado del día. Existe una zona con señalización de peligro por desprendimientos. Emergencias (112).,205967,3060962,28,17° 58' 47.75'' W,27° 38' 27.16'' N, , , ,Hospital Insular del Hierro,"Doctor Quintero, s/n (Valverde)",922554451,40 km.,Arena / Grava,Urbana,Sí,Reserva de la Biosfera,-17.9799,27.6408,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=597
-2017309.5483,3219591.7113,490,Canarias,Santa Cruz de Tenerife,El Hierro,38013,Frontera,http://www.aytofrontera.org,601,Arenas Blancas, , ,Playa de arena que no cuenta con servicios.,50 metros,10 metros, ,Bajo,Aislada,No, ,Blanca,Oleaje moderado,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie fácil / Coche,Sí,No,Carretera al Verodal,No, ,No, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,192311,3075267,28,18° 07' 18.57'' W,27° 46' 0.47'' N, , , ,Hospital Insular del Hierro,"Doctor Quintero, s/n (Valverde)",922554451,58 km.,Arena / Roca,Acantilado,Sí,LIC/ZEC/ZEPA/Hábitats Naturales de Interés Comunitario/Parque Rural/Reserva de la Biosfera,-18.1218,27.7667,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=601
-2020582.3413,3217126.1398,491,Canarias,Santa Cruz de Tenerife,El Hierro,38013,Frontera,http://www.aytofrontera.org,602,El Verodal, , ,"Una de las mayores playas de la isla de El Hierro, con arena roja y fuerte oleaje.",150 metros,10 metros, ,Bajo,Aislada,No, , ,Oleaje fuerte,No,No,Sí,en la playa, , ,No,Sí,Medios materiales,Sí, ,A pie fácil / Coche,Sí,No,Carretera al Verodal,No, ,Sí,No vigilado,Entre 50 y 100 plazas,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Dispone de una zona de recreo, con asaderos y mesas. Playa con señalización del Ayuntamiento y del Ministerio de Agricultura, Alimentación y Medio Ambiente por peligro por desprendimientos. Emergencias (112).",189356,3073168,28,"18º 09' 04,592'' W","27º 44' 49,664'' N", , , ,Hospital Insular del Hierro,"Doctor Quintero, s/n (Valverde)",922554451,60 km.,Grava,Montaña,Sí,LIC/ZEC/ZEPA/Parque Rural/Reserva de la Biosfera,-18.1512,27.7471,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=602
-2014771.4639,3218283.3936,492,Canarias,Santa Cruz de Tenerife,El Hierro,38013,Frontera,http://www.aytofrontera.org,603,Charco Azul,Sabinosa, ,"Pequeña cala cerca de uno de los pueblos más pintorescos de la isla, con casas antiguas bien conservadas, del más puro estilo herreño.",30 metros,30 metros, ,Bajo,Aislada,No, , ,Oleaje moderado,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie fácil,Sí,No,Carretera a Sabinosa,No, ,Sí,No vigilado,Menos de 50 plazas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,194531,3074057,28,"18º 05' 56,578'' W","27º 45' 22,752'' N", , , ,Hospital Insular del Hierro,"Doctor Quintero, s/n (Valverde)",922554451,50 km.,Roca,Acantilado,No, ,-18.099,27.7563,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=603
-1914372.4151,3273997.965,625,Canarias,Santa Cruz de Tenerife,La Gomera,38002,Agulo,http://www.agulo.org,565,San Marcos, , ,"Situada a escasa distancia del núcleo urbano, es una playa resguardada de roca y arena negra. No ofrece ningún tipo de equipamiento",150 metros,30 metros, ,Bajo,Aislada,No, ,Oscura,Oleaje fuerte,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie,Sí,No,GM-1,Sí,Interurbano,No, , ,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Zona Recreativa (merenderos). Emergencias (112).,284343,3121124,28,17° 11' 49.79'' W,28° 11' 54.200'' N,Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,33 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,33 km.,Arena / Roca,Acantilado,No, ,-17.1971,28.1983,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=565
-1924836.4473,3254850.2548,626,Canarias,Santa Cruz de Tenerife,La Gomera,38003,Alajeró,http://www.ayuntamientoalajero.es,566,La Negra, , ,"Cala de pequeño tamaño encajada al final de un espectacular barranco, ofrece aguas limpias y cristalinas. Se suele acceder a ella en barco.",250 metros,30 metros, ,Bajo,Aislada,No, ,Oscura,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie difícil,No,No,GM-3,No, ,No, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,274797,3104482,28,"17º 17' 28,243'' W","28º 02' 48,102'' N",Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,34 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,34 km.,Arena / Grava,Montaña,Sí,LIC/ZEC/ZEPA/Hábitats Naturales de Interés Comunitario/Paisaje Protegido/Reserva de la Biosfera,-17.2911,28.0466,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=566
-1922821.5645,3253500.7126,627,Canarias,Santa Cruz de Tenerife,La Gomera,38003,Alajeró,http://www.ayuntamientoalajero.es,567,La Cantera, , ,"Situada a los pies de un barranco, a esta cala sólo se puede acceder en barco, lo que permite disfrutar del bello entorno en un ambiente tranquilo.",300 metros,20 metros, ,Bajo,Aislada,No, , ,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie difícil / Barco,No,No,GM-3,No, ,No, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112).,276554,3103263,28,"17º 16' 23,060'' W","28º 02' 09,296'' N",Puerto Deportivo de San Sebastián,http://www.ekpsa.eus/es/nuestros-puertos/detalle.php?id=2,30 km.,Hospital Nuestra Señora de Guadalupe,"c/ Langrero, s/n. 38800 - San Sebastián de la Gomera",922140200,30 km.,Roca,Acantilado,Sí,ZEPA/Reserva de la Biosfera,-17.273,28.0359,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=567
-1863065.2618,3259328.6699,628,Canarias,Santa Cruz de Tenerife,Tenerife,38001,Adeje,http://www.adeje.es,625,Torviscas, , ,"Playa unida a la de Fañabé, dotada de excelentes equipaciones y muy visitada por los bañistas, que encuentran en esta zona todo tipo de comodidades.",290 metros,50 metros, ,Alto,Urbana,Sí, ,Dorada,Aguas tranquilas,No,No,Sí,en la playa, , ,Sí,Sí, ,Sí, ,A pie fácil / Coche,Sí,Sí, ,Sí,Interurbano (Línea 467),Sí, ,Menos de 50 plazas,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,Emergencias (112).,329407,3107514,28,"16º 44' 10,553'' W","28º 04' 55,589'' N",Puerto Colón,http://www.puertocolon.com/,"0,05 km.",Hospital Quirónsalud Costa Adeje,Urbanización San Eugenio s/n (Adeje),922752626,"1,8 km.",Arena,Urbana,No, ,-16.7362,28.0821,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=625
-1862697.9075,3258041.7625,629,Canarias,Santa Cruz de Tenerife,Tenerife,38001,Adeje,http://www.adeje.es,626,El Bobo, , ,"Pequeña playa de arena oscura con buenos servicios, ubicada en una zona dotada de todo tipo de equipamientos.",130 metros,50 metros, ,Alto,Urbana,Sí, ,Oscura,Aguas tranquilas,No,No,Sí,en la playa, , ,No,No, ,No, ,A pie fácil / Coche,Sí,Sí, ,Sí,Interurbano (Línea 467),Sí, , ,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Emergencias (112).,329716,3106379,28,16° 43' 58.60'' W,28° 04' 19.060'' N,Puerto Colón,http://www.puertocolon.com/,"0,5 km.",Hospital Quirónsalud Costa Adeje,Urbanización San Eugenio s/n (Adeje),922752626,"0,6 km.",Arena,Urbana,No, ,-16.7329,28.0719,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=626
